DATE,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,YEAR,Month,Season
1973-01-23,51.8,23,41.6,23,1003.6,23,2.6,23,10.2,23,14.9,23,26.0,32.8,56.8,*,46.9,*,0.35,G,,110010,1973,1,Winter
1973-01-24,41.2,24,25.6,24,1009.5,24,8.4,24,14.9,24,14.2,24,19.0,24.9,46.0,*,37.9,*,2.76,G,,0,1973,1,Winter
1973-01-25,36.5,24,17.3,24,1015.8,24,14.8,24,14.9,24,12.8,24,18.1,22.9,43.0,*,30.9,*,0.0,G,,0,1973,1,Winter
1973-01-26,43.1,24,28.1,23,1018.1,24,17.1,24,9.9,24,6.8,24,12.0,,50.0,*,37.0,*,0.0,I,,0,1973,1,Winter
1973-01-27,40.3,24,33.6,24,1016.3,24,15.3,24,4.2,24,7.7,24,16.9,25.8,43.0,*,36.9,*,0.04,G,,110000,1973,1,Winter
1973-01-28,40.3,23,35.3,23,1011.1,23,10.1,23,5.1,23,10.5,23,17.9,22.9,44.1,*,37.9,*,1.02,G,,110000,1973,1,Winter
1973-01-29,32.7,23,25.9,23,998.6,23,997.6,23,8.5,23,18.0,23,24.1,35.0,37.0,*,22.1,*,1.06,G,,111010,1973,1,Winter
1973-01-30,20.7,24,6.5,24,1018.1,24,17.0,24,14.9,24,15.2,24,20.0,28.9,27.1,*,15.1,*,0.12,G,,0,1973,1,Winter
1973-01-31,25.7,24,8.1,23,1027.5,24,26.5,24,14.5,24,13.1,24,17.1,22.9,28.0,*,14.9, ,0.0,G,,0,1973,1,Winter
1973-02-01,21.6,24,12.0,24,1039.7,24,38.8,8,9.8,24,12.1,24,15.9,,34.0,*,15.1,*,, ,,111000,1973,2,Winter
1973-02-02,45.5,16,42.7,16,1016.7,16,21.0,8,2.2,16,14.8,15,22.9,38.9,57.0,*,34.0,*,0.94,G,,110000,1973,2,Winter
1973-02-03,49.7,23,39.7,23,997.3,23,996.0,8,11.3,23,13.9,23,18.8,28.0,54.9,*,41.9,*,0.94,G,,110000,1973,2,Winter
1973-02-04,40.1,23,23.9,23,1011.6,23,9.6,8,14.0,23,14.2,23,22.9,23.9,45.0,*,36.9,*,0.04,G,,0,1973,2,Winter
1973-02-05,44.1,24,28.8,24,1021.5,24,20.0,8,10.3,24,8.5,24,14.0,,48.9,*,39.9,*,1.89,G,,0,1973,2,Winter
1973-02-06,36.9,23,21.4,23,1030.2,23,29.0,8,14.8,23,14.7,23,19.8,22.9,42.1,*,32.9,*,1.93,G,,0,1973,2,Winter
1973-02-07,35.2,23,28.4,23,1025.1,23,24.5,8,10.0,23,12.9,23,19.0,25.8,39.9,*,32.0,*,0.12,G,,11000,1973,2,Winter
1973-02-08,38.6,22,31.1,22,1016.0,22,15.2,8,9.3,22,7.5,22,14.0,,42.1,*,36.0,*,0.04,G,,110000,1973,2,Winter
1973-02-09,29.7,23,15.1,23,1015.0,23,13.5,8,12.9,23,15.4,23,22.0,38.9,43.0,*,23.0,*,0.24,G,,111000,1973,2,Winter
1973-02-10,21.9,24,5.0,24,1025.3,24,24.3,8,18.4,24,11.3,24,17.9,,28.0,*,17.1,*,0.04,G,,0,1973,2,Winter
1973-02-11,22.1,24,4.7,24,1026.3,24,25.0,8,14.9,24,15.7,24,20.0,25.8,28.0,*,14.0,*,0.0,G,,0,1973,2,Winter
1973-02-12,18.4,24,-2.5,24,1027.7,24,26.7,8,14.9,24,16.1,24,21.0,28.0,30.9,*,10.0,*,0.0,I,,0,1973,2,Winter
1973-02-13,27.0,23,4.1,23,1025.9,23,25.0,8,14.3,23,11.2,23,15.0,19.8,39.9,*,17.1,*,0.0,I,,0,1973,2,Winter
1973-02-14,35.2,24,3.2,24,1025.5,24,24.5,8,10.7,24,8.6,24,15.9,19.8,43.0,*,28.0,*,, ,,10000,1973,2,Winter
1973-02-15,39.2,23,32.1,23,1009.0,23,8.5,8,6.1,23,11.3,23,16.9,,45.9,*,34.0,*,0.63,G,,111000,1973,2,Winter
1973-02-16,32.8,23,23.7,23,1005.2,23,4.0,8,7.5,23,11.9,23,17.9,,43.0,*,20.1,*,0.0,G,,1000,1973,2,Winter
1973-02-17,13.9,23,-1.9,23,1018.0,23,16.2,8,10.4,23,16.9,23,21.0,24.9,20.1,*,9.0,*,0.0,G,,1000,1973,2,Winter
1973-02-18,19.1,23,-0.8,23,1025.7,23,24.7,8,14.9,23,11.4,23,17.9,,33.1,*,11.1,*,0.0,I,,0,1973,2,Winter
1973-02-19,32.4,24,9.7,24,1023.9,24,22.8,8,10.5,24,10.1,24,15.9,,42.1,*,26.1,*,2.83,B,,0,1973,2,Winter
1973-02-20,40.0,24,21.0,24,1022.4,24,21.4,8,8.4,24,8.5,24,13.0,,47.8,*,33.1,*,3.31,B,,0,1973,2,Winter
1973-02-21,43.0,24,27.4,22,1018.5,23,17.6,8,6.8,24,6.4,22,12.0,,48.9,*,39.0,*,1.77,G,,10000,1973,2,Winter
1973-02-22,38.8,22,29.1,22,1004.7,22,4.1,8,8.3,22,10.8,22,22.0,25.8,42.1,*,36.9,*,1.65,C,,11000,1973,2,Winter
1973-02-23,32.1,24,15.3,24,1005.5,24,4.3,8,13.7,24,14.1,23,19.8,22.9,37.0,*,26.1,*,0.0,I,,0,1973,2,Winter
1973-02-24,30.8,23,12.7,23,1015.7,23,14.3,8,14.9,23,14.5,23,19.8,28.0,38.8,*,25.9, ,0.0,I,,0,1973,2,Winter
1973-02-25,32.4,24,12.1,24,1029.7,24,28.3,8,14.8,24,10.4,24,15.9,24.9,39.9,*,26.1,*,0.0,I,,0,1973,2,Winter
1973-02-26,36.7,23,24.9,22,1028.5,22,27.6,8,8.4,23,8.7,23,14.0,,38.8,*,34.9,*,3.15,B,,11000,1973,2,Winter
1973-02-27,28.9,23,9.9,23,1029.9,23,28.9,8,14.4,23,15.5,23,24.9,29.9,36.0,*,23.0,*,0.0,I,,0,1973,2,Winter
1973-02-28,28.5,24,2.4,24,1028.6,24,27.5,8,13.4,24,9.3,24,15.9,,42.1,*,20.1,*,0.0,I,,0,1973,2,Winter
1973-03-01,38.5,24,19.1,24,1030.8,24,29.7,24,7.9,24,9.6,24,17.1,18.8,48.0,*,30.9,*,0.0,I,,0,1973,3,Spring
1973-03-02,47.1,24,27.5,24,1028.2,24,27.1,24,8.0,24,8.7,24,12.0,,59.9,*,39.9,*,0.0,I,,0,1973,3,Spring
1973-03-03,41.4,24,33.4,24,1031.4,24,30.3,24,5.2,24,10.9,24,17.9,,52.0,*,36.9,*,, ,,110000,1973,3,Spring
1973-03-04,43.3,24,38.7,24,1023.0,24,21.9,24,3.1,24,9.6,24,15.9,,55.9,*,36.0,*,0.43,G,,110000,1973,3,Spring
1973-03-05,46.2,24,38.5,24,1025.9,24,24.8,24,6.8,24,7.8,23,18.1,,53.1,*,38.8,*,2.01,G,,100000,1973,3,Spring
1973-03-06,40.1,24,32.2,23,1032.9,24,31.8,24,10.1,24,12.7,23,15.9,,42.1,*,37.9,*,0.0,G,,10000,1973,3,Spring
1973-03-07,41.2,24,37.0,24,1030.3,24,29.2,24,3.9,24,11.0,24,15.0,,43.0,*,38.8,*,1.69,G,,110000,1973,3,Spring
1973-03-08,48.2,23,45.6,23,1022.7,23,21.6,23,2.0,23,5.1,23,10.9,,60.1,*,39.9,*,0.75,G,,110000,1973,3,Spring
1973-03-09,50.7,23,42.4,23,1026.5,23,25.4,23,6.1,23,5.3,22,9.9,,59.9,*,41.0,*,0.43,G,,100000,1973,3,Spring
1973-03-10,42.9,24,34.5,24,1031.5,24,30.4,24,12.3,24,12.5,24,18.1,23.9,52.0,*,38.8,*,4.33,G,,0,1973,3,Spring
1973-03-11,39.7,24,36.4,24,1026.5,24,25.4,24,4.0,24,11.0,24,14.0,,42.1,*,37.9,*,1.85,G,,110000,1973,3,Spring
1973-03-12,51.5,24,45.8,24,1010.3,24,9.1,23,4.4,24,9.3,24,19.8,28.0,62.1,*,39.9,*,0.04,G,,110000,1973,3,Spring
1973-03-13,52.8,24,37.8,24,1015.3,24,14.2,24,14.9,24,11.4,24,17.1,23.9,61.0,*,45.9,*,2.76,B,,0,1973,3,Spring
1973-03-14,44.9,23,32.5,23,1017.4,23,16.3,23,10.0,23,7.3,23,13.0,,52.0,*,41.0,*,, ,,10000,1973,3,Spring
1973-03-15,41.3,23,36.6,23,1014.8,23,13.7,23,7.2,23,9.6,23,15.0,,43.0,*,39.9,*,0.08,G,,110000,1973,3,Spring
1973-03-16,52.1,23,43.5,23,1009.4,23,8.3,23,3.8,23,5.1,23,11.8,,64.9,*,41.9,*,0.04,G,,110000,1973,3,Spring
1973-03-17,53.3,24,49.6,24,994.2,24,993.1,24,2.6,24,11.9,24,26.8,45.8,61.0,*,45.9,*,0.43,G,,110010,1973,3,Spring
1973-03-18,38.0,24,23.1,23,987.4,23,986.3,23,9.8,24,18.2,23,24.9,36.9,52.0,*,30.0,*,0.04,G,,1000,1973,3,Spring
1973-03-19,37.1,23,21.2,23,999.9,23,998.8,23,14.6,23,17.8,22,22.9,32.8,43.9,*,34.0,*,0.0,G,,11000,1973,3,Spring
1973-03-20,39.0,22,20.6,22,1009.9,22,8.8,22,14.9,22,14.2,22,22.0,25.8,46.0,*,34.0,*,0.0,I,,0,1973,3,Spring
1973-03-21,36.4,24,19.4,24,1016.0,23,14.9,23,14.8,24,12.2,24,18.1,23.9,42.1,*,30.0,*,0.0,I,,0,1973,3,Spring
1973-03-22,37.2,22,22.8,22,1015.0,22,13.9,22,18.1,22,18.1,22,24.9,28.9,39.9,*,34.9,*,0.0,H,,1000,1973,3,Spring
1973-03-23,41.1,23,16.6,23,1017.8,23,16.7,23,14.9,23,17.6,23,22.0,31.9,52.0,*,36.0,*,3.5,B,,0,1973,3,Spring
1973-03-24,47.9,22,16.0,22,1022.0,22,20.9,22,14.9,22,10.6,22,18.1,25.8,63.0,*,37.9,*,2.05,A,,0,1973,3,Spring
1973-03-25,50.3,22,24.5,22,1016.8,22,15.7,22,11.2,22,5.8,22,12.0,,57.9,*,41.9,*,0.0,I,,0,1973,3,Spring
1973-03-26,47.9,24,41.8,24,1003.5,24,2.4,24,5.2,24,9.0,24,15.0,22.0,52.9,*,43.0,*,1.38,G,,110000,1973,3,Spring
1973-03-27,48.2,24,31.4,24,1006.8,24,5.7,24,14.1,24,14.9,24,22.0,29.9,54.0,*,41.0,*,1.18,G,,10000,1973,3,Spring
1973-03-28,42.5,23,21.0,23,1025.6,23,24.5,23,14.5,23,10.1,23,14.0,,50.0,*,36.9,*,2.13,G,,0,1973,3,Spring
1973-03-29,42.6,23,30.2,23,1027.1,22,26.0,22,9.6,23,6.9,23,9.9,,50.0,*,36.9,*,0.0,G,,0,1973,3,Spring
1973-03-30,43.4,24,39.6,23,1023.7,24,22.6,24,3.2,24,7.3,24,13.0,,47.8,*,38.8,*,0.0,G,,110000,1973,3,Spring
1973-03-31,46.8,23,43.7,23,1022.4,23,21.4,23,2.3,23,7.8,23,12.8,,52.0,*,43.0,*,0.04,G,,110000,1973,3,Spring
1973-04-01,44.0,23,41.4,23,1013.5,23,12.5,23,2.9,23,13.9,23,17.1,,46.0,*,41.9,*,0.94,G,,110000,1973,4,Spring
1973-04-02,49.5,23,46.6,23,996.5,23,995.5,23,6.0,23,6.6,23,15.9,,52.0,*,45.0,*,0.91,G,,110000,1973,4,Spring
1973-04-03,51.3,24,41.8,24,1002.6,24,1.5,24,9.1,24,9.8,24,14.0,,54.0,*,50.0,*,0.08,G,,10000,1973,4,Spring
1973-04-04,44.7,23,41.7,23,1003.8,23,2.7,23,3.9,23,10.7,23,26.8,31.9,50.9,*,41.9,*,0.0,G,,110000,1973,4,Spring
1973-04-05,45.7,24,35.9,24,995.8,24,994.8,24,12.3,24,15.8,23,21.0,28.9,50.0,*,41.9,*,1.18,G,,110000,1973,4,Spring
1973-04-06,49.3,24,31.3,24,1009.0,24,8.0,24,14.0,24,15.7,24,19.0,26.8,59.9,*,39.9,*,0.0,G,,0,1973,4,Spring
1973-04-07,53.7,24,33.8,24,1011.6,24,10.5,24,16.1,24,9.6,24,12.8,,64.0,*,46.9,*,0.0,I,,0,1973,4,Spring
1973-04-08,45.1,23,37.7,23,1007.4,23,6.4,23,7.1,23,12.3,23,22.9,31.9,54.0,*,37.9,*,0.59,G,,111000,1973,4,Spring
1973-04-09,44.0,24,20.5,24,1017.5,24,16.4,24,14.9,24,8.8,24,15.0,,51.1,*,37.9,*,0.04,G,,0,1973,4,Spring
1973-04-10,48.7,23,37.3,23,1003.4,23,2.4,23,11.7,23,14.6,23,22.0,37.9,54.0,*,43.9,*,0.55,G,,110000,1973,4,Spring
1973-04-11,40.4,24,22.5,24,1004.0,24,3.0,24,14.9,24,17.5,24,24.9,35.0,45.0,*,36.9,*,0.0,A,,0,1973,4,Spring
1973-04-12,40.9,24,18.9,24,1011.7,24,10.7,24,14.8,24,14.0,24,19.0,,46.9,*,34.9,*,0.0,I,,0,1973,4,Spring
1973-04-13,41.5,24,19.1,24,1016.6,24,15.5,24,14.9,24,13.7,24,18.8,22.9,47.8,*,34.9,*,0.0,A,,0,1973,4,Spring
1973-04-14,42.7,24,19.6,24,1026.0,24,25.0,24,14.9,24,9.4,24,15.9,,53.1,*,34.9,*,0.0,I,,0,1973,4,Spring
1973-04-15,49.0,24,26.7,24,1031.2,24,30.1,24,10.2,24,8.0,24,17.1,,63.0,*,37.9,*,0.0,I,,0,1973,4,Spring
1973-04-16,55.3,22,31.2,22,1029.5,22,28.5,22,10.6,22,11.0,22,15.9,21.0,70.9,*,45.9,*,0.0,I,,0,1973,4,Spring
1973-04-17,61.6,23,48.2,23,1023.4,23,22.3,23,10.0,23,12.1,23,15.0,,66.0,*,57.9,*,, ,,10000,1973,4,Spring
1973-04-18,66.4,22,53.2,22,1023.7,22,22.7,22,8.6,22,11.3,22,15.9,,73.0,*,61.0,*,0.0,H,,10000,1973,4,Spring
1973-04-19,67.5,24,52.2,24,1023.6,24,22.6,24,8.0,24,7.4,24,14.0,,75.9,*,59.9,*,0.0,I,,10,1973,4,Spring
1973-04-20,59.0,23,42.6,23,1029.1,23,28.1,23,11.8,23,10.3,23,15.0,,69.1,*,52.9,*,0.0,G,,10000,1973,4,Spring
1973-04-21,51.6,24,37.2,24,1032.0,24,31.0,24,13.6,24,9.2,24,15.0,,60.1,*,45.9,*,0.0,G,,0,1973,4,Spring
1973-04-22,66.1,24,51.8,24,1018.4,24,17.4,24,10.1,24,10.5,24,14.0,21.0,82.9,*,54.9,*,0.0,I,,0,1973,4,Spring
1973-04-23,72.9,21,54.4,21,1009.4,21,8.4,21,12.2,21,11.4,21,15.9,,80.1,*,59.9,*,, ,,10000,1973,4,Spring
1973-04-24,61.0,22,47.6,22,1008.7,22,7.7,22,12.1,22,9.0,22,15.9,17.9,80.6, ,54.0,*,0.35,G,,10000,1973,4,Spring
1973-04-25,58.3,24,40.5,24,1013.1,24,12.0,24,13.0,24,8.0,24,14.0,,68.0,*,50.0,*,0.0,G,,0,1973,4,Spring
1973-04-26,52.2,24,46.3,24,1011.6,24,10.6,24,5.9,24,14.2,24,25.8,32.8,62.6, ,50.0, ,1.34,G,,110000,1973,4,Spring
1973-04-27,48.8,24,45.5,24,1005.1,24,4.1,24,6.0,24,17.8,24,22.9,37.9,52.9,*,46.9,*,0.08,G,,110000,1973,4,Spring
1973-04-28,55.0,24,48.8,24,995.7,24,994.7,24,6.8,24,11.6,24,18.8,23.9,59.0,*,50.0,*,0.75,G,,110010,1973,4,Spring
1973-04-29,51.6,24,35.9,24,1008.9,24,7.9,24,14.6,24,14.0,24,17.9,26.8,57.9,*,47.8,*,3.15,G,,10000,1973,4,Spring
1973-04-30,54.7,23,33.7,23,1019.7,23,18.6,23,16.5,23,9.1,23,13.0,,64.0,*,46.9,*,0.0,G,,0,1973,4,Spring
1973-05-01,58.9,23,40.7,23,1025.2,22,24.1,22,10.5,23,9.1,23,16.9,23.9,66.0,*,53.1,*,, ,,10000,1973,5,Spring
1973-05-02,59.8,21,52.3,21,1022.8,21,21.8,21,5.3,21,8.0,21,14.0,,70.9,*,52.0,*,0.0,G,,110000,1973,5,Spring
1973-05-03,64.0,24,55.4,24,1013.8,24,12.7,24,5.9,24,8.1,24,21.0,32.8,73.9,*,57.9,*,0.0,H,,11010,1973,5,Spring
1973-05-04,56.8,24,43.3,23,1009.0,23,7.9,23,10.9,24,12.4,24,22.0,29.9,63.0,*,52.0,*,0.55,G,,10000,1973,5,Spring
1973-05-05,49.2,24,33.2,24,1009.2,24,8.1,24,14.9,24,13.7,24,18.1,22.0,55.0,*,46.9,*,0.04,G,,10000,1973,5,Spring
1973-05-06,54.9,23,35.5,23,1015.7,23,14.6,23,14.9,23,11.9,22,15.0,,66.0,*,46.9,*,0.0,G,,0,1973,5,Spring
1973-05-07,56.4,24,41.6,24,1024.9,24,23.8,24,13.5,24,8.2,24,15.9,,64.9,*,47.8,*,0.0,I,,0,1973,5,Spring
1973-05-08,53.4,24,44.7,24,1025.9,24,24.8,24,11.8,24,9.6,24,15.0,,57.9,*,48.0,*,, ,,10000,1973,5,Spring
1973-05-09,56.8,24,53.1,24,1014.1,24,13.0,24,4.6,24,11.9,24,21.0,28.9,61.0,*,54.0,*,0.75,G,,110000,1973,5,Spring
1973-05-10,60.9,24,56.1,24,1011.4,24,10.4,24,2.1,24,6.9,24,13.0,,77.9, ,55.4, ,0.04,G,,100000,1973,5,Spring
1973-05-11,63.1,22,51.5,22,1005.9,22,4.9,22,6.9,22,10.5,22,19.8,30.9,73.9,*,54.9,*,0.04,G,,110010,1973,5,Spring
1973-05-12,60.8,24,43.3,24,1008.8,24,7.7,24,13.0,24,9.3,24,16.9,22.0,69.1,*,54.9,*,0.0,H,,10010,1973,5,Spring
1973-05-13,58.8,24,43.0,24,1014.2,24,13.1,24,14.5,24,10.1,24,14.0,,66.0,*,52.0,*,0.04,G,,10000,1973,5,Spring
1973-05-14,59.0,23,41.5,23,1022.2,23,21.1,23,11.1,23,8.9,23,14.0,,66.9,*,52.0,*,0.0,G,,0,1973,5,Spring
1973-05-15,56.1,24,47.4,24,1019.4,24,18.3,24,5.5,24,8.4,24,15.9,,62.1,*,52.9,*,0.0,H,,10000,1973,5,Spring
1973-05-16,54.6,24,41.2,24,1014.3,24,13.2,24,11.5,24,9.7,24,17.1,,63.0,*,46.9,*,0.24,G,,110000,1973,5,Spring
1973-05-17,58.4,24,43.6,24,1010.4,24,9.3,24,11.4,24,12.0,24,17.9,25.8,65.8,*,52.0,*,0.2,G,,0,1973,5,Spring
1973-05-18,52.4,24,40.3,24,1006.0,24,4.9,24,11.7,24,13.8,24,20.0,24.9,59.9,*,43.9,*,0.24,G,,110000,1973,5,Spring
1973-05-19,56.7,22,35.0,22,1012.8,22,11.7,22,14.8,22,11.2,22,15.9,,66.9,*,48.9,*,0.0,G,,0,1973,5,Spring
1973-05-20,59.5,24,50.8,24,1010.7,24,9.6,24,8.0,24,7.7,24,10.9,,63.0,*,56.8,*,7.09,A,,110000,1973,5,Spring
1973-05-21,55.9,18,52.5,18,1002.1,18,1.0,18,5.1,18,9.1,18,15.0,,59.0,*,54.0,*,0.55,G,,110000,1973,5,Spring
1973-05-22,62.6,24,46.0,24,1005.6,24,4.5,24,12.7,24,12.1,24,18.1,24.9,72.0,*,55.9,*,0.16,G,,10000,1973,5,Spring
1973-05-23,57.9,21,46.7,21,1009.4,21,8.3,21,9.8,21,8.0,21,14.0,,68.0,*,54.0,*,0.2,G,,110000,1973,5,Spring
1973-05-24,55.9,24,50.7,24,1008.5,24,7.4,24,8.2,24,11.0,24,17.1,22.9,61.0,*,52.9,*,0.47,G,,110000,1973,5,Spring
1973-05-25,54.4,24,48.0,24,1012.1,24,11.0,24,10.7,24,12.4,24,18.1,,57.0,*,52.0,*,0.12,G,,10000,1973,5,Spring
1973-05-26,54.3,24,45.2,24,1014.8,24,13.7,24,10.6,24,11.0,24,14.0,,57.9,*,50.9,*,0.0,G,,10000,1973,5,Spring
1973-05-27,53.1,22,45.5,22,1017.4,22,16.3,22,11.8,22,8.7,22,12.8,,56.8,*,50.0,*,0.0,G,,10000,1973,5,Spring
1973-05-28,57.6,22,54.8,22,1011.8,22,10.8,22,7.0,22,9.8,22,15.0,29.9,64.9,*,52.0,*,0.47,G,,110000,1973,5,Spring
1973-05-29,70.3,24,58.5,24,1006.4,24,5.4,24,8.6,24,11.5,24,17.9,26.8,80.1,*,61.0,*,0.31,G,,110000,1973,5,Spring
1973-05-30,71.1,24,54.1,24,1013.1,24,12.0,24,11.2,24,7.2,24,12.8,,77.9,*,61.9,*,0.0,G,,0,1973,5,Spring
1973-05-31,68.3,24,56.3,24,1012.3,24,11.2,24,6.9,24,8.9,23,15.0,22.9,74.8,*,61.9,*,0.2,G,,110010,1973,5,Spring
1973-06-01,69.0,23,51.4,23,1016.0,23,15.0,23,8.7,23,9.9,23,17.9,28.0,78.8, ,59.9,*,0.24,G,,10000,1973,6,Summer
1973-06-02,67.5,24,53.5,24,1016.6,24,15.6,24,11.8,24,8.4,24,14.0,,78.8, ,60.8, ,0.08,G,,10000,1973,6,Summer
1973-06-03,62.7,23,50.1,23,1021.6,23,20.5,23,12.5,23,9.0,23,14.0,,73.4, ,57.2, ,0.0,G,,0,1973,6,Summer
1973-06-04,69.8,24,60.5,24,1019.0,24,18.0,24,4.5,24,7.1,24,14.0,,83.8,*,57.2, ,0.04,G,,110000,1973,6,Summer
1973-06-05,75.8,24,64.0,24,1019.2,24,18.2,24,7.5,24,8.8,24,15.9,22.0,84.2, ,62.6, ,0.16,G,,10010,1973,6,Summer
1973-06-06,68.7,21,62.3,21,1020.0,21,19.0,21,4.1,21,10.1,21,15.0,,84.2, ,59.9,*,0.0,I,,100000,1973,6,Summer
1973-06-07,74.1,24,64.5,24,1018.7,24,17.7,24,8.2,24,10.0,24,14.0,,82.0,*,60.8, ,, ,,10000,1973,6,Summer
1973-06-08,78.2,23,62.2,23,1021.2,23,20.2,23,8.7,23,10.1,23,17.9,,86.0, ,68.0, ,0.08,G,,0,1973,6,Summer
1973-06-09,80.9,23,66.7,23,1016.8,23,15.8,23,7.4,23,11.8,23,22.9,38.9,90.0,*,73.4, ,0.02,G,,10010,1973,6,Summer
1973-06-10,78.7,24,58.2,24,1015.0,24,14.0,24,12.7,24,9.1,24,15.0,,89.6, ,71.6, ,0.28,G,,10,1973,6,Summer
1973-06-11,84.4,23,63.4,23,1014.1,23,13.0,23,9.2,23,10.8,23,15.9,,92.8,*,71.6, ,0.0,G,,0,1973,6,Summer
1973-06-12,86.8,20,68.9,20,1011.8,20,10.8,20,4.1,20,11.8,20,17.9,24.9,93.2, ,75.2, ,0.0,I,,0,1973,6,Summer
1973-06-13,76.1,23,64.8,23,1010.6,23,9.6,23,6.6,23,8.7,23,14.0,,91.4, ,70.0,*,0.08,G,,10010,1973,6,Summer
1973-06-14,72.2,21,53.7,21,1013.1,21,12.2,21,14.9,21,10.4,21,14.0,21.0,82.4, ,66.2, ,0.98,G,,0,1973,6,Summer
1973-06-15,71.6,24,48.1,24,1016.0,24,15.0,24,14.9,24,9.7,24,13.0,,80.6, ,63.9,*,0.0,G,,0,1973,6,Summer
1973-06-16,71.8,23,58.0,23,1011.0,23,10.0,23,8.5,23,11.1,22,16.9,23.9,78.8, ,64.4, ,0.01,G,,110000,1973,6,Summer
1973-06-17,66.5,24,54.6,24,1009.6,24,8.6,24,11.7,24,12.7,24,20.0,,77.0, ,57.2, ,0.12,G,,100000,1973,6,Summer
