DATE,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,YEAR,Month,Season,HUMID
2010-03-14,45.7,24,42.5,24,999.7,17,998.7,24,3.9,24,20.2,24,31.9,40.0,48.9, ,39.0, ,2.56,G,,10010,2010,3,Spring,87.0
2010-03-15,45.1,24,38.3,24,1001.8,24,0.4,24,9.3,24,13.0,24,17.1,25.1,48.9, ,42.1, ,0.45,G,,10000,2010,3,Spring,76.0
2010-03-16,49.5,24,25.3,24,1012.3,24,11.2,24,10.0,24,11.1,24,15.9,26.0,61.0, ,42.1, ,0.01,G,,10000,2010,3,Spring,32.0
2010-03-17,52.8,24,24.1,24,1015.4,24,14.4,24,10.0,24,4.3,24,11.1,,66.0, ,41.0, ,0.0,G,,0,2010,3,Spring,38.0
2010-03-18,57.0,24,26.8,24,1010.2,24,9.3,24,10.0,24,4.6,24,12.0,14.0,69.1, ,41.0, ,0.0,G,,0,2010,3,Spring,37.0
2010-03-19,56.4,24,33.0,24,1009.2,24,8.1,24,10.0,24,4.3,24,15.9,19.0,72.0, ,45.0, ,0.0,G,,0,2010,3,Spring,41.0
2010-03-20,62.1,24,34.9,24,1013.7,24,12.7,24,10.0,24,7.0,24,15.0,19.0,73.9, ,45.0, ,0.0,G,,0,2010,3,Spring,37.0
2010-03-21,54.5,24,38.7,24,1017.8,24,16.8,24,10.0,24,8.1,24,14.0,,73.9, ,48.9, ,0.0,G,,0,2010,3,Spring,66.0
2010-03-22,48.9,24,45.1,24,1014.8,17,14.2,24,5.4,24,7.2,24,13.0,15.9,59.0,*,46.4,*,0.0,G,,110000,2010,3,Spring,91.0
2010-03-23,51.0,24,47.4,24,1001.9,13,1.3,24,6.4,24,8.4,24,14.0,22.0,61.0, ,46.9, ,1.48,G,,10010,2010,3,Spring,84.0
2010-03-24,50.4,24,32.0,24,1005.6,24,4.0,24,9.7,24,19.6,24,27.0,36.9,60.1, ,44.1, ,0.03,G,,0,2010,3,Spring,41.0
2010-03-25,54.0,24,29.8,24,1013.8,24,12.7,24,10.0,24,6.2,24,16.9,22.0,61.0, ,44.1, ,0.0,G,,0,2010,3,Spring,51.0
2010-03-26,46.2,24,31.8,24,1007.9,24,6.4,24,9.5,24,11.9,24,20.0,26.0,61.0, ,39.9, ,0.11,G,,10000,2010,3,Spring,51.0
2010-03-27,35.7,24,9.8,24,1025.6,24,24.6,24,10.0,24,10.0,24,15.9,21.0,54.0, ,30.0, ,0.1,G,,0,2010,3,Spring,40.0
2010-03-28,41.1,24,30.0,24,1026.4,23,25.8,24,9.7,24,10.2,24,15.9,22.9,48.9, ,30.2, ,0.0,G,,10000,2010,3,Spring,72.0
2010-03-29,50.9,24,47.4,24,1011.2,17,9.5,24,4.6,24,10.7,24,21.0,32.1,53.6,*,48.9,*,1.4,G,,10000,2010,3,Spring,90.0
2010-03-30,46.8,24,42.9,24,1000.8,13,998.9,24,3.8,24,13.4,24,19.0,34.0,53.6,*,42.8,*,1.52,G,,10000,2010,3,Spring,86.0
2010-03-31,49.9,24,42.4,24,1004.5,21,2.6,24,8.7,24,13.6,24,19.0,27.0,57.0, ,44.1, ,1.24,G,,10000,2010,3,Spring,71.0
2010-04-01,55.1,24,42.5,24,1017.2,24,16.2,24,10.0,24,5.7,24,9.9,,70.0,*,48.2,*,0.0,G,,0,2010,4,Spring,63.0
2010-04-02,55.0,24,43.2,24,1020.9,24,19.8,24,10.0,24,5.5,24,12.0,,70.0, ,46.0, ,0.0,G,,0,2010,4,Spring,65.0
2010-04-03,53.4,24,44.1,24,1021.0,24,20.0,24,10.0,24,6.7,24,11.1,,66.0, ,46.0, ,0.0,G,,0,2010,4,Spring,76.0
2010-04-04,57.2,24,43.3,24,1018.9,21,17.9,24,5.8,24,4.6,24,9.9,,75.9, ,46.9, ,0.0,G,,0,2010,4,Spring,56.0
2010-04-05,63.1,24,41.3,24,1018.6,24,17.6,24,10.0,24,6.3,24,18.1,24.1,75.9, ,48.9, ,0.0,G,,0,2010,4,Spring,53.0
2010-04-06,62.4,24,51.0,24,1011.9,24,10.9,24,9.2,24,5.3,24,11.1,,77.0, ,53.1, ,0.0,G,,0,2010,4,Spring,69.0
2010-04-07,68.8,24,45.8,24,1005.6,24,4.6,24,8.5,24,7.4,24,19.0,27.0,91.0, ,51.1, ,0.0,G,,0,2010,4,Spring,40.0
2010-04-08,71.8,24,49.8,24,1004.3,24,3.3,24,9.7,24,7.5,24,18.1,25.1,91.0, ,51.1, ,0.0,G,,0,2010,4,Spring,61.0
2010-04-09,58.9,24,47.1,24,1004.4,22,3.2,24,9.5,24,10.0,24,19.0,22.0,78.1, ,53.1, ,0.2,G,,10000,2010,4,Spring,58.0
2010-04-10,50.6,24,24.6,24,1017.7,24,16.7,24,10.0,24,15.6,24,24.1,31.1,66.0, ,44.1, ,0.0,A,,0,2010,4,Spring,34.0
2010-04-11,62.7,24,30.0,24,1021.8,24,20.8,24,10.0,24,9.4,24,13.0,22.0,75.9, ,44.1, ,0.0,G,,0,2010,4,Spring,30.0
2010-04-12,59.6,24,26.6,24,1025.1,24,23.9,24,10.0,24,7.4,24,14.0,15.9,75.9, ,48.9, ,0.0,G,,0,2010,4,Spring,29.0
2010-04-13,54.6,24,30.1,24,1030.4,24,29.4,24,10.0,24,6.0,24,9.9,14.0,66.0, ,48.9, ,0.0,G,,0,2010,4,Spring,46.0
2010-04-14,54.9,24,30.3,24,1032.7,24,31.6,24,10.0,24,5.4,24,12.0,,66.9, ,48.0, ,0.0,G,,0,2010,4,Spring,39.0
2010-04-15,61.2,24,30.4,24,1025.1,24,24.0,24,10.0,24,8.7,24,15.0,19.0,71.1, ,48.0, ,0.0,G,,0,2010,4,Spring,35.0
2010-04-16,52.8,24,36.7,24,1016.8,23,16.4,24,9.9,24,10.7,24,19.0,25.1,71.1, ,48.9, ,0.0,G,,10000,2010,4,Spring,67.0
2010-04-17,49.0,24,40.1,24,1007.4,15,5.9,24,7.5,24,7.7,24,14.0,21.0,55.9, ,46.0, ,0.23,G,,10000,2010,4,Spring,63.0
2010-04-18,49.4,24,31.3,24,1011.1,24,10.1,24,10.0,24,11.2,24,17.1,22.0,55.9, ,43.0, ,0.0,G,,0,2010,4,Spring,50.0
2010-04-19,54.1,24,32.1,24,1013.3,24,12.3,24,10.0,24,11.2,24,16.9,22.0,61.0, ,43.0, ,0.0,G,,0,2010,4,Spring,44.0
2010-04-20,58.8,24,36.0,24,1014.2,24,13.2,24,10.0,24,5.1,24,13.0,,69.1, ,48.9, ,0.0,G,,0,2010,4,Spring,44.0
2010-04-21,61.0,24,40.7,24,1010.0,24,9.0,24,10.0,24,8.0,24,15.0,26.0,69.1, ,51.1, ,0.0,G,,10000,2010,4,Spring,56.0
2010-04-22,59.6,24,46.3,24,1006.4,24,5.4,24,9.0,24,5.3,24,15.0,28.9,72.0, ,53.1, ,0.02,G,,10010,2010,4,Spring,54.0
2010-04-23,57.0,24,29.4,24,1009.3,24,8.2,24,10.0,24,10.3,24,15.9,26.0,72.0, ,46.9, ,0.0,G,,0,2010,4,Spring,35.0
2010-04-24,58.8,24,25.6,24,1016.9,24,15.9,24,10.0,24,8.4,24,17.1,20.0,68.0, ,46.9, ,0.0,G,,0,2010,4,Spring,33.0
2010-04-25,51.3,24,42.2,24,1008.5,17,6.2,24,5.7,24,8.6,24,13.0,20.0,57.9,*,46.4,*,0.65,G,,10000,2010,4,Spring,88.0
2010-04-26,50.9,24,47.5,24,995.0,18,993.7,24,6.0,24,8.7,24,13.0,20.0,54.0, ,46.9, ,0.86,G,,10010,2010,4,Spring,88.0
2010-04-27,52.0,24,41.7,24,993.4,18,991.6,24,8.7,24,10.1,24,24.1,34.0,57.9, ,48.0, ,0.55,G,,10000,2010,4,Spring,60.0
2010-04-28,48.5,24,27.6,24,1000.4,24,999.4,24,10.0,24,16.1,24,26.0,35.0,57.9, ,42.1, ,0.04,G,,0,2010,4,Spring,40.0
2010-04-29,57.5,24,22.2,24,1007.4,24,6.4,24,10.0,24,14.2,24,22.9,35.9,70.0, ,42.1, ,0.0,G,,0,2010,4,Spring,26.0
2010-04-30,66.1,24,30.1,24,1009.8,24,8.8,24,10.0,24,7.6,24,15.0,21.0,78.1, ,48.9, ,0.0,G,,0,2010,4,Spring,31.0
2010-05-01,69.0,24,48.6,24,1009.1,24,8.1,24,9.8,24,6.5,24,13.0,19.0,82.9, ,60.1, ,0.0,G,,0,2010,5,Spring,52.0
2010-05-02,75.0,24,59.4,24,1009.1,24,8.0,24,9.2,24,6.8,24,12.0,19.0,90.0, ,61.0, ,0.0,G,,0,2010,5,Spring,59.0
2010-05-03,75.6,24,65.2,24,1006.2,16,5.3,24,8.4,24,8.1,24,15.0,28.0,90.0, ,66.0, ,1.21,G,,10010,2010,5,Spring,73.0
2010-05-04,73.2,24,54.1,24,1007.8,24,6.8,24,10.0,24,6.6,24,22.9,35.0,82.9, ,64.9, ,0.24,G,,0,2010,5,Spring,50.0
2010-05-05,69.7,24,43.9,24,1012.8,24,11.8,24,10.0,24,6.1,24,20.0,26.0,82.0, ,59.0, ,0.0,G,,0,2010,5,Spring,42.0
2010-05-06,68.6,24,49.3,24,1007.9,24,6.9,24,9.7,24,10.5,24,21.0,28.9,80.1,*,57.2,*,0.0,G,,0,2010,5,Spring,50.0
2010-05-07,63.1,24,38.8,24,1013.9,24,12.8,24,10.0,24,10.3,24,18.1,25.1,73.0, ,54.0, ,0.0,G,,0,2010,5,Spring,49.0
2010-05-08,63.8,24,47.4,24,1002.8,22,1.6,24,9.5,24,11.3,24,28.9,44.1,78.1, ,54.0, ,0.0,G,,10000,2010,5,Spring,54.0
2010-05-09,51.5,24,29.3,24,1010.5,24,9.5,24,10.0,24,22.0,24,28.9,42.9,78.1, ,46.0, ,0.06,G,,0,2010,5,Spring,45.0
2010-05-10,50.6,24,26.6,24,1021.6,24,20.6,24,10.0,24,15.5,24,22.9,35.9,60.1, ,43.0, ,0.0,G,,0,2010,5,Spring,36.0
2010-05-11,52.5,24,24.6,24,1028.7,24,27.7,24,10.0,24,8.7,24,17.1,25.1,60.1, ,43.0, ,0.0,G,,0,2010,5,Spring,42.0
2010-05-12,48.4,24,41.9,24,1024.2,14,21.9,24,6.7,24,9.5,24,15.0,20.0,57.9, ,46.0, ,0.31,G,,10000,2010,5,Spring,84.0
2010-05-13,54.7,24,38.7,24,1025.0,23,23.9,24,10.0,24,6.6,24,13.0,19.0,70.0, ,46.0, ,0.04,G,,0,2010,5,Spring,48.0
2010-05-14,65.4,24,49.2,24,1019.2,24,18.5,24,9.6,24,9.7,24,18.1,28.0,82.0, ,46.9, ,0.0,G,,10000,2010,5,Spring,65.0
2010-05-15,69.4,24,48.4,24,1015.3,24,14.3,24,9.9,24,13.7,24,21.0,28.9,82.0, ,57.0, ,0.06,G,,10010,2010,5,Spring,41.0
2010-05-16,63.8,24,41.0,24,1019.5,24,18.5,24,10.0,24,8.6,24,14.0,17.1,73.0, ,55.0, ,0.0,G,,0,2010,5,Spring,45.0
2010-05-17,66.3,24,38.6,24,1020.8,24,19.8,24,10.0,24,3.2,24,12.0,15.0,75.0, ,55.0, ,0.0,G,,0,2010,5,Spring,35.0
2010-05-18,58.5,24,40.5,24,1019.0,18,17.1,24,7.7,24,8.5,24,22.0,27.0,69.1,*,51.8,*,0.01,G,,10000,2010,5,Spring,74.0
2010-05-19,56.5,24,48.7,24,1010.3,21,9.2,24,8.3,24,11.2,24,22.9,28.9,64.9, ,51.1, ,0.94,G,,10000,2010,5,Spring,72.0
2010-05-20,66.5,24,51.0,24,1013.3,24,12.2,24,10.0,24,2.9,24,11.1,,82.9, ,52.0, ,0.0,G,,0,2010,5,Spring,54.0
2010-05-21,73.8,24,53.0,24,1018.1,24,17.1,24,10.0,24,5.4,24,11.1,15.9,84.9, ,57.0, ,0.0,G,,0,2010,5,Spring,54.0
2010-05-22,63.8,24,53.7,24,1022.8,23,22.0,24,10.0,24,7.9,24,11.1,,84.9, ,57.0, ,0.0,G,,0,2010,5,Spring,72.0
2010-05-23,61.7,24,56.0,24,1023.3,18,22.1,24,6.5,24,11.1,24,15.9,20.0,73.9, ,57.0, ,0.0,G,,100000,2010,5,Spring,86.0
2010-05-24,63.2,24,57.9,24,1024.1,18,23.4,24,9.5,24,8.3,24,12.0,,73.9, ,57.0, ,0.0,G,,10000,2010,5,Spring,81.0
2010-05-25,70.5,24,59.6,24,1022.7,24,21.7,24,9.7,24,4.4,24,13.0,15.9,81.0, ,57.9, ,0.0,G,,0,2010,5,Spring,64.0
2010-05-26,77.5,24,58.9,24,1013.0,24,12.0,24,10.0,24,5.5,24,11.1,,93.9, ,61.0, ,0.0,G,,0,2010,5,Spring,52.0
2010-05-27,74.9,24,58.6,24,1008.5,23,7.5,24,10.0,24,8.1,24,14.0,17.1,93.9, ,63.0, ,0.0,G,,10010,2010,5,Spring,64.0
2010-05-28,64.0,24,50.0,24,1014.1,24,12.9,24,10.0,24,5.7,24,11.1,,81.0, ,59.0, ,0.02,G,,10000,2010,5,Spring,63.0
2010-05-29,67.7,24,57.2,24,1013.8,24,12.8,24,10.0,24,8.6,24,14.0,17.1,77.0, ,59.0, ,0.0,G,,0,2010,5,Spring,68.0
2010-05-30,75.8,24,57.2,24,1010.8,24,9.8,24,10.0,24,7.5,24,11.1,17.1,84.9, ,63.0, ,0.0,G,,0,2010,5,Spring,47.0
2010-05-31,78.6,24,57.5,24,1014.3,24,13.2,24,10.0,24,6.4,24,15.0,22.9,84.9, ,66.9, ,0.0,G,,0,2010,5,Spring,59.0
2010-06-01,75.7,24,64.2,24,1010.0,23,8.8,24,8.4,24,8.6,24,18.1,22.9,88.0, ,64.9, ,0.01,G,,10010,2010,6,Summer,67.0
2010-06-02,77.4,24,59.5,24,1009.8,24,8.8,24,10.0,24,6.8,24,15.0,15.9,88.0, ,64.9, ,0.0,G,,10000,2010,6,Summer,58.0
2010-06-03,76.1,24,63.9,24,1005.9,22,5.1,24,8.7,24,9.0,24,14.0,20.0,89.1,*,66.2,*,0.0,G,,0,2010,6,Summer,60.0
2010-06-04,81.1,24,61.8,24,1007.7,24,6.7,24,10.0,24,6.1,24,15.9,19.0,90.0, ,66.9, ,0.0,G,,0,2010,6,Summer,56.0
2010-06-05,83.3,24,65.4,24,1006.0,24,5.0,24,9.9,24,9.7,24,17.1,22.9,90.0, ,71.1, ,0.0,G,,0,2010,6,Summer,53.0
2010-06-06,84.0,24,65.3,24,1000.0,24,999.0,24,9.7,24,13.4,24,22.9,34.0,93.0, ,73.0, ,0.0,G,,10000,2010,6,Summer,55.0
